name,slug,category_slug,price,discount_percentage,stock,requires_prescription,is_active,unit,kemasan,produsen,deskripsi,komposisi,manfaat,dosis,efek_samping,lainnya
"Dextromethorphan Syrup",dextromethorphan-syrup,obat-bebas-terbatas,18000.00,52,999,0,1,pcs,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","Dextromethorphan Syrup merupakan produk kategori obat bebas terbatas yang digunakan sesuai indikasi penggunaannya.","Mengandung bahan aktif sesuai label produk","Membantu menjaga kesehatan dan meredakan gejala umum","Gunakan sesuai petunjuk dokter atau aturan pakai pada kemasan","Efek samping jarang terjadi, bisa termasuk mual atau reaksi alergi ringan","Simpan di tempat sejuk dan kering, jauhkan dari jangkauan anak-anak"
"CTM Tablet",ctm-tablet,obat-bebas-terbatas,12000.00,13,999,0,1,pcs,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","CTM Tablet merupakan produk kategori obat bebas terbatas yang digunakan sesuai indikasi penggunaannya.","Mengandung bahan aktif sesuai label produk","Membantu menjaga kesehatan dan meredakan gejala umum","Gunakan sesuai petunjuk dokter atau aturan pakai pada kemasan","Efek samping jarang terjadi, bisa termasuk mual atau reaksi alergi ringan","Simpan di tempat sejuk dan kering, jauhkan dari jangkauan anak-anak"
"Salbutamol 2mg",salbutamol-2mg,obat-bebas-terbatas,10000.00,10,999,0,1,pcs,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","Salbutamol 2mg merupakan produk kategori obat bebas terbatas yang digunakan sesuai indikasi penggunaannya.","Mengandung bahan aktif sesuai label produk","Membantu menjaga kesehatan dan meredakan gejala umum","Gunakan sesuai petunjuk dokter atau aturan pakai pada kemasan","Efek samping jarang terjadi, bisa termasuk mual atau reaksi alergi ringan","Simpan di tempat sejuk dan kering, jauhkan dari jangkauan anak-anak"
"Loperamide 2mg",loperamide-2mg,obat-bebas-terbatas,15000.00,17,999,0,1,pcs,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","Loperamide 2mg merupakan produk kategori obat bebas terbatas yang digunakan sesuai indikasi penggunaannya.","Mengandung bahan aktif sesuai label produk","Membantu menjaga kesehatan dan meredakan gejala umum","Gunakan sesuai petunjuk dokter atau aturan pakai pada kemasan","Efek samping jarang terjadi, bisa termasuk mual atau reaksi alergi ringan","Simpan di tempat sejuk dan kering, jauhkan dari jangkauan anak-anak"
"OBH Combi",obh-combi,obat-bebas,12000.00,34,999,0,1,pcs,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","OBH Combi merupakan produk kategori obat bebas yang digunakan sesuai indikasi penggunaannya.","Mengandung bahan aktif sesuai label produk","Membantu menjaga kesehatan dan meredakan gejala umum","Gunakan sesuai petunjuk dokter atau aturan pakai pada kemasan","Efek samping jarang terjadi, bisa termasuk mual atau reaksi alergi ringan","Simpan di tempat sejuk dan kering, jauhkan dari jangkauan anak-anak"
"Panadol Biru",panadol-biru,obat-bebas,5000.00,45,999,0,1,pcs,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","Panadol Biru merupakan produk kategori obat bebas yang digunakan sesuai indikasi penggunaannya.","Mengandung bahan aktif sesuai label produk","Membantu menjaga kesehatan dan meredakan gejala umum","Gunakan sesuai petunjuk dokter atau aturan pakai pada kemasan","Efek samping jarang terjadi, bisa termasuk mual atau reaksi alergi ringan","Simpan di tempat sejuk dan kering, jauhkan dari jangkauan anak-anak"
Paramex,paramex,obat-bebas,12000.00,60,999,0,1,pcs,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","Paramex merupakan produk kategori obat bebas yang digunakan sesuai indikasi penggunaannya.","Mengandung bahan aktif sesuai label produk","Membantu menjaga kesehatan dan meredakan gejala umum","Gunakan sesuai petunjuk dokter atau aturan pakai pada kemasan","Efek samping jarang terjadi, bisa termasuk mual atau reaksi alergi ringan","Simpan di tempat sejuk dan kering, jauhkan dari jangkauan anak-anak"
Mixagrip,mixagrip,obat-bebas,10000.00,30,999,0,1,pcs,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","Mixagrip merupakan produk kategori obat bebas yang digunakan sesuai indikasi penggunaannya.","Mengandung bahan aktif sesuai label produk","Membantu menjaga kesehatan dan meredakan gejala umum","Gunakan sesuai petunjuk dokter atau aturan pakai pada kemasan","Efek samping jarang terjadi, bisa termasuk mual atau reaksi alergi ringan","Simpan di tempat sejuk dan kering, jauhkan dari jangkauan anak-anak"
"Kuku Bima Ener-G",kuku-bima-ener-g,jamu-herbal,10000.00,52,999,0,1,pcs,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","Kuku Bima Ener-G merupakan produk kategori jamu herbal yang digunakan sesuai indikasi penggunaannya.","Mengandung bahan aktif sesuai label produk","Membantu menjaga kesehatan dan meredakan gejala umum","Gunakan sesuai petunjuk dokter atau aturan pakai pada kemasan","Efek samping jarang terjadi, bisa termasuk mual atau reaksi alergi ringan","Simpan di tempat sejuk dan kering, jauhkan dari jangkauan anak-anak"
"Herbal Pil Sido Muncul",herbal-pil-sido-muncul,jamu-herbal,10000.00,13,999,0,1,pcs,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","Herbal Pil Sido Muncul merupakan produk kategori jamu herbal yang digunakan sesuai indikasi penggunaannya.","Mengandung bahan aktif sesuai label produk","Membantu menjaga kesehatan dan meredakan gejala umum","Gunakan sesuai petunjuk dokter atau aturan pakai pada kemasan","Efek samping jarang terjadi, bisa termasuk mual atau reaksi alergi ringan","Simpan di tempat sejuk dan kering, jauhkan dari jangkauan anak-anak"
"Madurasa Sachet",madurasa-sachet,jamu-herbal,10000.00,10,999,0,1,pcs,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","Madurasa Sachet merupakan produk kategori jamu herbal yang digunakan sesuai indikasi penggunaannya.","Mengandung bahan aktif sesuai label produk","Membantu menjaga kesehatan dan meredakan gejala umum","Gunakan sesuai petunjuk dokter atau aturan pakai pada kemasan","Efek samping jarang terjadi, bisa termasuk mual atau reaksi alergi ringan","Simpan di tempat sejuk dan kering, jauhkan dari jangkauan anak-anak"
"Bodrexin Syrup",bodrexin-syrup,kebutuhan-bayi-ibu,45000.00,17,999,0,1,pcs,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","Bodrexin Syrup merupakan produk kategori kebutuhan bayi ibu yang digunakan sesuai indikasi penggunaannya.","Mengandung bahan aktif sesuai label produk","Membantu menjaga kesehatan dan meredakan gejala umum","Gunakan sesuai petunjuk dokter atau aturan pakai pada kemasan","Efek samping jarang terjadi, bisa termasuk mual atau reaksi alergi ringan","Simpan di tempat sejuk dan kering, jauhkan dari jangkauan anak-anak"
"Cussons Baby Lotion",cussons-baby-lotion,kebutuhan-bayi-ibu,55000.00,34,999,0,1,pcs,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","Cussons Baby Lotion merupakan produk kategori kebutuhan bayi ibu yang digunakan sesuai indikasi penggunaannya.","Mengandung bahan aktif sesuai label produk","Membantu menjaga kesehatan dan meredakan gejala umum","Gunakan sesuai petunjuk dokter atau aturan pakai pada kemasan","Efek samping jarang terjadi, bisa termasuk mual atau reaksi alergi ringan","Simpan di tempat sejuk dan kering, jauhkan dari jangkauan anak-anak"
"Pigeon Baby Oil",pigeon-baby-oil,kebutuhan-bayi-ibu,35000.00,45,999,0,1,pcs,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","Pigeon Baby Oil merupakan produk kategori kebutuhan bayi ibu yang digunakan sesuai indikasi penggunaannya.","Mengandung bahan aktif sesuai label produk","Membantu menjaga kesehatan dan meredakan gejala umum","Gunakan sesuai petunjuk dokter atau aturan pakai pada kemasan","Efek samping jarang terjadi, bisa termasuk mual atau reaksi alergi ringan","Simpan di tempat sejuk dan kering, jauhkan dari jangkauan anak-anak"
"Sweety Bronze Diapers",sweety-bronze-diapers,kebutuhan-bayi-ibu,25000.00,60,999,0,1,pcs,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","Sweety Bronze Diapers merupakan produk kategori kebutuhan bayi ibu yang digunakan sesuai indikasi penggunaannya.","Mengandung bahan aktif sesuai label produk","Membantu menjaga kesehatan dan meredakan gejala umum","Gunakan sesuai petunjuk dokter atau aturan pakai pada kemasan","Efek samping jarang terjadi, bisa termasuk mual atau reaksi alergi ringan","Simpan di tempat sejuk dan kering, jauhkan dari jangkauan anak-anak"
"Garnier Facial Foam",garnier-facial-foam,perawatan-wajah,50000.00,30,999,0,1,pcs,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","Garnier Facial Foam merupakan produk kategori perawatan wajah yang digunakan sesuai indikasi penggunaannya.","Mengandung bahan aktif sesuai label produk","Membantu menjaga kesehatan dan meredakan gejala umum","Gunakan sesuai petunjuk dokter atau aturan pakai pada kemasan","Efek samping jarang terjadi, bisa termasuk mual atau reaksi alergi ringan","Simpan di tempat sejuk dan kering, jauhkan dari jangkauan anak-anak"
"Wardah Day Cream",wardah-day-cream,perawatan-wajah,100000.00,52,999,0,1,pcs,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","Wardah Day Cream merupakan produk kategori perawatan wajah yang digunakan sesuai indikasi penggunaannya.","Mengandung bahan aktif sesuai label produk","Membantu menjaga kesehatan dan meredakan gejala umum","Gunakan sesuai petunjuk dokter atau aturan pakai pada kemasan","Efek samping jarang terjadi, bisa termasuk mual atau reaksi alergi ringan","Simpan di tempat sejuk dan kering, jauhkan dari jangkauan anak-anak"
"Emina Bright Stuff",emina-bright-stuff,perawatan-wajah,125000.00,13,999,0,1,pcs,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","Emina Bright Stuff merupakan produk kategori perawatan wajah yang digunakan sesuai indikasi penggunaannya.","Mengandung bahan aktif sesuai label produk","Membantu menjaga kesehatan dan meredakan gejala umum","Gunakan sesuai petunjuk dokter atau aturan pakai pada kemasan","Efek samping jarang terjadi, bisa termasuk mual atau reaksi alergi ringan","Simpan di tempat sejuk dan kering, jauhkan dari jangkauan anak-anak"
"Viva Milk Cleanser",viva-milk-cleanser,perawatan-wajah,125000.00,10,999,0,1,pcs,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","Viva Milk Cleanser merupakan produk kategori perawatan wajah yang digunakan sesuai indikasi penggunaannya.","Mengandung bahan aktif sesuai label produk","Membantu menjaga kesehatan dan meredakan gejala umum","Gunakan sesuai petunjuk dokter atau aturan pakai pada kemasan","Efek samping jarang terjadi, bisa termasuk mual atau reaksi alergi ringan","Simpan di tempat sejuk dan kering, jauhkan dari jangkauan anak-anak"
"Nivea Body Lotion",nivea-body-lotion,perawatan-tubuh,20000.00,17,999,0,1,pcs,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","Nivea Body Lotion merupakan produk kategori perawatan tubuh yang digunakan sesuai indikasi penggunaannya.","Mengandung bahan aktif sesuai label produk","Membantu menjaga kesehatan dan meredakan gejala umum","Gunakan sesuai petunjuk dokter atau aturan pakai pada kemasan","Efek samping jarang terjadi, bisa termasuk mual atau reaksi alergi ringan","Simpan di tempat sejuk dan kering, jauhkan dari jangkauan anak-anak"
"Marina UV White",marina-uv-white,perawatan-tubuh,20000.00,34,999,0,1,pcs,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","Marina UV White merupakan produk kategori perawatan tubuh yang digunakan sesuai indikasi penggunaannya.","Mengandung bahan aktif sesuai label produk","Membantu menjaga kesehatan dan meredakan gejala umum","Gunakan sesuai petunjuk dokter atau aturan pakai pada kemasan","Efek samping jarang terjadi, bisa termasuk mual atau reaksi alergi ringan","Simpan di tempat sejuk dan kering, jauhkan dari jangkauan anak-anak"
"Vaseline Repair Lotion",vaseline-repair-lotion,perawatan-tubuh,40000.00,45,999,0,1,pcs,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","Vaseline Repair Lotion merupakan produk kategori perawatan tubuh yang digunakan sesuai indikasi penggunaannya.","Mengandung bahan aktif sesuai label produk","Membantu menjaga kesehatan dan meredakan gejala umum","Gunakan sesuai petunjuk dokter atau aturan pakai pada kemasan","Efek samping jarang terjadi, bisa termasuk mual atau reaksi alergi ringan","Simpan di tempat sejuk dan kering, jauhkan dari jangkauan anak-anak"
"Citra Bengkoang Lotion",citra-bengkoang-lotion,perawatan-tubuh,60000.00,60,999,0,1,pcs,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","Citra Bengkoang Lotion merupakan produk kategori perawatan tubuh yang digunakan sesuai indikasi penggunaannya.","Mengandung bahan aktif sesuai label produk","Membantu menjaga kesehatan dan meredakan gejala umum","Gunakan sesuai petunjuk dokter atau aturan pakai pada kemasan","Efek samping jarang terjadi, bisa termasuk mual atau reaksi alergi ringan","Simpan di tempat sejuk dan kering, jauhkan dari jangkauan anak-anak"
"Vitamin C IPI",vitamin-c-ipi,suplemen-vitamin,60000.00,30,999,0,1,pcs,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","Vitamin C IPI merupakan produk kategori suplemen vitamin yang digunakan sesuai indikasi penggunaannya.","Mengandung bahan aktif sesuai label produk","Membantu menjaga kesehatan dan meredakan gejala umum","Gunakan sesuai petunjuk dokter atau aturan pakai pada kemasan","Efek samping jarang terjadi, bisa termasuk mual atau reaksi alergi ringan","Simpan di tempat sejuk dan kering, jauhkan dari jangkauan anak-anak"
"Blackmores Odourless Fish Oil",blackmores-odourless-fish-oil,suplemen-vitamin,60000.00,52,999,0,1,pcs,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","Blackmores Odourless Fish Oil merupakan produk kategori suplemen vitamin yang digunakan sesuai indikasi penggunaannya.","Mengandung bahan aktif sesuai label produk","Membantu menjaga kesehatan dan meredakan gejala umum","Gunakan sesuai petunjuk dokter atau aturan pakai pada kemasan","Efek samping jarang terjadi, bisa termasuk mual atau reaksi alergi ringan","Simpan di tempat sejuk dan kering, jauhkan dari jangkauan anak-anak"
Enervon-C,enervon-c,suplemen-vitamin,60000.00,13,999,0,1,pcs,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","Enervon-C merupakan produk kategori suplemen vitamin yang digunakan sesuai indikasi penggunaannya.","Mengandung bahan aktif sesuai label produk","Membantu menjaga kesehatan dan meredakan gejala umum","Gunakan sesuai petunjuk dokter atau aturan pakai pada kemasan","Efek samping jarang terjadi, bisa termasuk mual atau reaksi alergi ringan","Simpan di tempat sejuk dan kering, jauhkan dari jangkauan anak-anak"
"Hemaviton Action",hemaviton-action,suplemen-vitamin,60000.00,10,999,0,1,pcs,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","Hemaviton Action merupakan produk kategori suplemen vitamin yang digunakan sesuai indikasi penggunaannya.","Mengandung bahan aktif sesuai label produk","Membantu menjaga kesehatan dan meredakan gejala umum","Gunakan sesuai petunjuk dokter atau aturan pakai pada kemasan","Efek samping jarang terjadi, bisa termasuk mual atau reaksi alergi ringan","Simpan di tempat sejuk dan kering, jauhkan dari jangkauan anak-anak"
"Masker KN95",masker-kn95,alat-kesehatan,75000.00,17,999,0,0,pcs,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","Masker KN95 merupakan produk kategori alat kesehatan yang digunakan sesuai indikasi penggunaannya.","Mengandung bahan aktif sesuai label produk","Membantu menjaga kesehatan dan meredakan gejala umum","Gunakan sesuai petunjuk dokter atau aturan pakai pada kemasan","Efek samping jarang terjadi, bisa termasuk mual atau reaksi alergi ringan","Simpan di tempat sejuk dan kering, jauhkan dari jangkauan anak-anak"
"Ciprofloxacin 500mg",ciprofloxacin-500mg,obat-keras,32000.00,34,150,1,1,strip,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","Antibiotik untuk infeksi bakteri tertentu. Penggunaan harus sesuai resep dokter.",,,,,
"Amlodipine 5mg",amlodipine-5mg,obat-keras,18000.00,45,200,1,1,strip,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","Obat untuk hipertensi dan angina. Hanya dengan resep dokter.",,,,,
"Cefixime 200mg",cefixime-200mg,obat-keras,45000.00,60,120,1,1,strip,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","Antibiotik sefalosporin generasi ketiga. Gunakan sesuai resep.",,,,,
"Omeprazole 20mg",omeprazole-20mg,obat-keras,24000.00,30,140,1,1,strip,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","Mengurangi produksi asam lambung untuk GERD. Resep dokter diperlukan.",,,,,
"Asam Mefenamat 500mg",asam-mefenamat-500mg,obat-bebas-terbatas,16000.00,52,220,0,1,strip,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","Pereda nyeri dan anti-inflamasi. Ikuti aturan pakai.",,,,,
"CTM 4mg",ctm-4mg,obat-bebas-terbatas,7000.00,13,300,0,1,strip,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","Antihistamin untuk alergi ringan. Dapat menyebabkan kantuk.",,,,,
"Antasida Doen Tablet",antasida-doen-tablet,obat-bebas-terbatas,9000.00,10,280,0,1,strip,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","Meredakan gejala maag dan asam lambung.",,,,,
"Dextromethorphan 15mg",dextromethorphan-15mg,obat-bebas-terbatas,12000.00,17,240,0,1,strip,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","Obat penekan batuk kering. Ikuti dosis anjuran.",,,,,
"Guaifenesin 100mg",guaifenesin-100mg,obat-bebas-terbatas,11000.00,34,260,0,1,strip,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","Ekspektoran untuk membantu mengeluarkan dahak.",,,,,
"Promag Tablet",promag-tablet,obat-bebas,14000.00,,300,0,1,box,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","Meredakan nyeri lambung dan gejala maag.",,,,,
"OBH Combi Batuk",obh-combi-batuk,obat-bebas,18000.00,,250,0,1,botol,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","Sirup batuk dengan kombinasi ekspektoran dan antitusif.",,,,,
Antimo,antimo,obat-bebas,7000.00,,320,0,1,strip,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","Membantu mencegah mabuk perjalanan.",,,,,
"Minyak Kayu Putih 60ml",minyak-kayu-putih-60ml,obat-bebas,16000.00,,400,0,1,botol,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","Menghangatkan tubuh dan meredakan pegal.",,,,,
"Salonpas Patch",salonpas-patch,obat-bebas,12000.00,,280,0,1,box,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","Plester pereda nyeri otot dan sendi.",,,,,
"Temulawak Sachet",temulawak-sachet,jamu-herbal,4000.00,,350,0,1,sachet,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","Jamu tradisional untuk kesehatan pencernaan dan hati.",,,,,
"Sari Kurma Botol",sari-kurma-botol,jamu-herbal,28000.00,,200,0,1,botol,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","Suplemen herbal dari ekstrak kurma untuk stamina.",,,,,
"Kapsul Kunyit",kapsul-kunyit,jamu-herbal,25000.00,,180,0,1,botol,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","Herbal antiinflamasi dari ekstrak kunyit.",,,,,
"Diapers Size M",diapers-size-m,kebutuhan-bayi-ibu,85000.00,6,120,0,1,box,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","Popok sekali pakai untuk bayi ukuran M.",,,,,
"Baby Wipes Unscented",baby-wipes-unscented,kebutuhan-bayi-ibu,18000.00,,200,0,1,box,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","Tisu basah bayi tanpa pewangi untuk kulit sensitif.",,,,,
"Minyak Telon 60ml",minyak-telon-60ml,kebutuhan-bayi-ibu,17000.00,,220,0,1,botol,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","Minyak untuk menghangatkan tubuh bayi.",,,,,
"Facial Wash Gentle",facial-wash-gentle,perawatan-wajah,35000.00,,180,0,1,tube,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","Pembersih wajah lembut untuk kulit normal-sensitif.",,,,,
"Sunscreen SPF 50",sunscreen-spf-50,perawatan-wajah,75000.00,7,160,0,1,tube,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","Tabir surya SPF 50 untuk perlindungan kulit dari UV.",,,,,
"Hand Sanitizer 500ml",hand-sanitizer-500ml,perawatan-tubuh,30000.00,,220,0,1,botol,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","Pembersih tangan berbasis alkohol untuk perlindungan cepat.",,,,,
"Body Lotion Moisture",body-lotion-moisture,perawatan-tubuh,42000.00,,190,0,1,botol,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","Lotion pelembap untuk kulit kering.",,,,,
"Lip Balm Moist",lip-balm-moist,kosmetik,18000.00,,260,0,1,pcs,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","Pelembap bibir dengan vitamin E.",,,,,
"Compact Powder Natural",compact-powder-natural,kosmetik,38000.00,,170,0,1,pcs,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","Bedak padat untuk tampilan natural.",,,,,
"Vitamin D3 1000 IU",vitamin-d3-1000-iu,suplemen-vitamin,65000.00,8,200,0,1,botol,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","Suplemen vitamin D3 untuk kesehatan tulang dan imun.",,,,,
"Zinc 20mg",zinc-20mg,suplemen-vitamin,28000.00,,220,0,1,botol,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","Suplemen zinc untuk dukungan imun dan kulit.",,,,,
"Omega-3 Fish Oil",omega-3-fish-oil,suplemen-vitamin,95000.00,5,150,0,1,botol,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","Minyak ikan kaya EPA & DHA untuk kesehatan jantung.",,,,,
Probiotik,probiotik,suplemen-vitamin,48000.00,,160,0,1,botol,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","Suplemen probiotik untuk kesehatan pencernaan.",,,,,
"Pulse Oximeter",pulse-oximeter,alat-kesehatan,150000.00,7,90,0,1,pcs,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","Alat ukur saturasi oksigen dan nadi.",,,,,
"Glucometer Test Strips",glucometer-test-strips,alat-kesehatan,120000.00,,110,0,1,box,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","Strip uji gula darah untuk glucometer.",,,,,
"Nebulizer Portable",nebulizer-portable,alat-kesehatan,350000.00,6,60,0,1,pcs,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","Alat terapi uap untuk gangguan pernapasan.",,,,,
"Kasa Steril 10x10cm",kasa-steril-10x10cm,perban-pertolongan-pertama,15000.00,,240,0,1,box,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","Kasa steril untuk perawatan luka.",,,,,
"Antiseptic Spray 100ml",antiseptic-spray-100ml,perban-pertolongan-pertama,22000.00,,200,0,1,botol,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","Semprot antiseptik untuk membersihkan luka dan permukaan.",,,,,
"Plester Kasa Roll",plester-kasa-roll,perban-pertolongan-pertama,18000.00,,210,0,1,pcs,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","Plester kasa gulung untuk balutan luka.",,,,,
